net,length_um
_05381_,51.58
_01806_,51.48
_01300_,51.38
_01322_,51.38
_04202_,51.34
_04313_,51.3
_00109_,51.26
_04433_,51.26
_01456_,51.2
_01484_,51.2
_01607_,51.18
_05576_,51.14
_02869_,51.04
_02714_,51.035
_00740_,50.92
_03897_,50.8
_04419_,50.8
_01276_,50.78
_03068_,50.73
_03849_,50.72
_01217_,50.67
_03044_,50.66
_04175_,50.66
_00857_,50.64
_03855_,50.635
_02283_,50.62
_04669_,50.62
_05190_,50.62
_01404_,50.58
_03005_,50.56
_00147_,50.54
_02217_,50.54
_02002_,50.535
_04171_,50.48
_03968_,50.42
_03406_,50.38
_04336_,50.38
_03484_,50.365
_00006_,50.335
_04532_,50.32
_02737_,50.26
_00422_,50.24
_03976_,50.24
_03037_,50.2
_04577_,50.035
_04446_,50.02
_02434_,49.96
_02870_,49.78
_00545_,49.76
_01576_,49.68
_05291_,49.68
_02216_,49.5
_02756_,49.5
_00539_,49.46
_03041_,49.46
